Graph,Nodes,Optimal_Size,Heuristic,Average_Size,Best_Size,Worst_Size
tree,165,71,Sorted ListLeft,81.0,81,81
tree,165,71,Sorted ListRight,134.0,134,134
tree,165,71,DFS,106.0,106,106
tree,170,76,Maximum Degree Greedy,78.48,77,81
tree,170,76,Greedy Independent Cover,76.0,76,76
tree,170,76,Sorted ListLeft,89.0,89,89
tree,170,76,Sorted ListRight,150.0,150,150
tree,170,76,DFS,105.0,105,105
tree,175,74,Maximum Degree Greedy,76.29333333333334,75,78
tree,175,74,Greedy Independent Cover,74.0,74,74
tree,175,74,Sorted ListLeft,82.0,82,82
tree,175,74,Sorted ListRight,146.0,146,146
tree,175,74,DFS,108.0,108,108
tree,180,76,Maximum Degree Greedy,76.78,76,79
tree,180,76,Greedy Independent Cover,76.0,76,76
tree,180,76,Sorted ListLeft,85.0,85,85
tree,180,76,Sorted ListRight,145.0,145,145
tree,180,76,DFS,112.0,112,112
tree,185,80,Maximum Degree Greedy,82.19666666666667,80,86
tree,185,80,Greedy Independent Cover,80.0,80,80
tree,185,80,Sorted ListLeft,89.0,89,89
tree,185,80,Sorted ListRight,154.0,154,154
tree,185,80,DFS,112.0,112,112
tree,190,83,Maximum Degree Greedy,86.98666666666666,85,90
tree,190,83,Greedy Independent Cover,83.0,83,83
tree,190,83,Sorted ListLeft,96.0,96,96
tree,190,83,Sorted ListRight,152.0,152,152
tree,190,83,DFS,125.0,125,125
tree,195,82,Maximum Degree Greedy,83.95,83,86
tree,195,82,Greedy Independent Cover,82.0,82,82
tree,195,82,Sorted ListLeft,93.0,93,93
tree,195,82,Sorted ListRight,159.0,159,159
tree,195,82,DFS,123.0,123,123
tree,200,86,Maximum Degree Greedy,92.09333333333333,88,97
tree,200,86,Greedy Independent Cover,86.0,86,86
tree,200,86,Sorted ListLeft,101.0,101,101
tree,200,86,Sorted ListRight,167.0,167,167
tree,200,86,DFS,130.0,130,130
tree,205,91,Maximum Degree Greedy,95.15333333333334,93,99
tree,205,91,Greedy Independent Cover,91.0,91,91
tree,205,91,Sorted ListLeft,105.0,105,105
tree,205,91,Sorted ListRight,170.0,170,170
tree,205,91,DFS,133.0,133,133
tree,210,91,Maximum Degree Greedy,92.8,91,96
tree,210,91,Greedy Independent Cover,91.0,91,91
tree,210,91,Sorted ListLeft,98.0,98,98
tree,210,91,Sorted ListRight,171.0,171,171
tree,210,91,DFS,130.0,130,130
tree,215,93,Maximum Degree Greedy,97.67333333333333,95,101
tree,215,93,Greedy Independent Cover,93.0,93,93
tree,215,93,Sorted ListLeft,106.0,106,106
