Graph,Nodes,Optimal_Size,Heuristic,Average_Size,Best_Size,Worst_Size
anti_mdg,264,44,Greedy Independent Cover,44.0,44,44
anti_mdg,264,44,Sorted ListLeft,65.0,65,65
anti_mdg,264,44,Sorted ListRight,251.0,251,251
anti_mdg,264,44,DFS,87.0,87,87
anti_mdg,272,45,Maximum Degree Greedy,45.0,45,45
anti_mdg,272,45,Greedy Independent Cover,45.0,45,45
anti_mdg,272,45,Sorted ListLeft,67.0,67,67
anti_mdg,272,45,Sorted ListRight,259.0,259,259
anti_mdg,272,45,DFS,89.0,89,89
anti_mdg,278,46,Maximum Degree Greedy,46.0,46,46
anti_mdg,278,46,Greedy Independent Cover,46.0,46,46
anti_mdg,278,46,Sorted ListLeft,68.0,68,68
anti_mdg,278,46,Sorted ListRight,264.0,264,264
anti_mdg,278,46,DFS,91.0,91,91
anti_mdg,282,47,Maximum Degree Greedy,47.0,47,47
anti_mdg,282,47,Greedy Independent Cover,47.0,47,47
anti_mdg,282,47,Sorted ListLeft,70.0,70,70
anti_mdg,282,47,Sorted ListRight,268.0,268,268
anti_mdg,282,47,DFS,93.0,93,93
anti_mdg,294,48,Maximum Degree Greedy,48.0,48,48
anti_mdg,294,48,Greedy Independent Cover,48.0,48,48
anti_mdg,294,48,Sorted ListLeft,71.0,71,71
anti_mdg,294,48,Sorted ListRight,280.0,280,280
anti_mdg,294,48,DFS,95.0,95,95
anti_mdg,299,49,Maximum Degree Greedy,49.0,49,49
anti_mdg,299,49,Greedy Independent Cover,49.0,49,49
anti_mdg,299,49,Sorted ListLeft,73.0,73,73
anti_mdg,299,49,Sorted ListRight,285.0,285,285
anti_mdg,299,49,DFS,97.0,97,97
anti_mdg,307,50,Maximum Degree Greedy,50.0,50,50
anti_mdg,307,50,Greedy Independent Cover,50.0,50,50
anti_mdg,307,50,Sorted ListLeft,74.0,74,74
anti_mdg,307,50,Sorted ListRight,292.0,292,292
anti_mdg,307,50,DFS,99.0,99,99
anti_mdg,313,51,Maximum Degree Greedy,51.0,51,51
anti_mdg,313,51,Greedy Independent Cover,51.0,51,51
anti_mdg,313,51,Sorted ListLeft,76.0,76,76
anti_mdg,313,51,Sorted ListRight,298.0,298,298
anti_mdg,313,51,DFS,101.0,101,101
anti_mdg,321,52,Maximum Degree Greedy,52.0,52,52
anti_mdg,321,52,Greedy Independent Cover,52.0,52,52
anti_mdg,321,52,Sorted ListLeft,77.0,77,77
anti_mdg,321,52,Sorted ListRight,306.0,306,306
anti_mdg,321,52,DFS,103.0,103,103
anti_mdg,325,53,Maximum Degree Greedy,53.0,53,53
anti_mdg,325,53,Greedy Independent Cover,53.0,53,53
anti_mdg,325,53,Sorted ListLeft,79.0,79,79
anti_mdg,325,53,Sorted ListRight,310.0,310,310
anti_mdg,325,53,DFS,105.0,105,105
anti_mdg,335,54,Maximum Degree Greedy,54.0,54,54
anti_mdg,335,54,Greedy Independent Cover,54.0,54,54
anti_mdg,335,54,Sorted ListLeft,80.0,80,80
anti_mdg,335,54,Sorted ListRight,319.0,319,319
