Graph,Nodes,Optimal_Size,Heuristic,Average_Size,Best_Size,Worst_Size
tree,210,89,Sorted ListLeft,101.66333333333333,97,107
tree,210,89,Sorted ListRight,173.48666666666668,168,179
tree,210,89,DFS,130.0,130,130
tree,215,87,Maximum Degree Greedy,93.69333333333333,90,97
tree,215,87,Greedy Independent Cover,87.0,87,87
tree,215,87,Sorted ListLeft,103.34333333333333,98,108
tree,215,87,Sorted ListRight,175.88666666666666,171,183
tree,215,87,DFS,135.0,135,135
tree,220,96,Maximum Degree Greedy,99.47333333333333,97,102
tree,220,96,Greedy Independent Cover,96.0,96,96
tree,220,96,Sorted ListLeft,108.89,104,115
tree,220,96,Sorted ListRight,181.92,176,188
tree,220,96,DFS,139.0,139,139
tree,225,98,Maximum Degree Greedy,102.97666666666667,100,106
tree,225,98,Greedy Independent Cover,98.0,98,98
tree,225,98,Sorted ListLeft,111.67333333333333,106,117
tree,225,98,Sorted ListRight,187.81666666666666,182,195
tree,225,98,DFS,140.0,140,140
tree,230,102,Maximum Degree Greedy,107.04,104,111
tree,230,102,Greedy Independent Cover,102.0,102,102
tree,230,102,Sorted ListLeft,114.30666666666667,109,119
tree,230,102,Sorted ListRight,192.03333333333333,185,197
tree,230,102,DFS,143.0,143,143
tree,235,99,Maximum Degree Greedy,103.24333333333334,100,107
tree,235,99,Greedy Independent Cover,99.0,99,99
tree,235,99,Sorted ListLeft,112.23,106,118
tree,235,99,Sorted ListRight,191.75333333333333,186,197
tree,235,99,DFS,147.0,147,147
tree,240,104,Maximum Degree Greedy,110.17,106,114
tree,240,104,Greedy Independent Cover,104.0,104,104
tree,240,104,Sorted ListLeft,116.52,112,122
tree,240,104,Sorted ListRight,198.85,194,204
tree,240,104,DFS,150.0,150,150
tree,245,106,Maximum Degree Greedy,110.58,108,114
tree,245,106,Greedy Independent Cover,106.0,106,106
tree,245,106,Sorted ListLeft,119.15666666666667,113,125
tree,245,106,Sorted ListRight,203.45666666666668,198,209
tree,245,106,DFS,153.0,153,153
tree,250,108,Maximum Degree Greedy,112.72333333333333,111,116
tree,250,108,Greedy Independent Cover,108.0,108,108
tree,250,108,Sorted ListLeft,121.35,116,128
tree,250,108,Sorted ListRight,205.54333333333332,199,214
tree,250,108,DFS,157.0,157,157
tree,255,106,Maximum Degree Greedy,109.17666666666666,107,113
tree,255,106,Greedy Independent Cover,106.0,106,106
tree,255,106,Sorted ListLeft,119.84,114,126
tree,255,106,Sorted ListRight,207.11666666666667,199,216
tree,255,106,DFS,160.0,160,160
tree,260,111,Maximum Degree Greedy,116.21333333333334,113,120
tree,260,111,Greedy Independent Cover,111.0,111,111
tree,260,111,Sorted ListLeft,123.24,119,128
tree,260,111,Sorted ListRight,215.86666666666667,209,222
tree,260,111,DFS,157.0,157,157
tree,265,112,Maximum Degree Greedy,117.40333333333334,114,121
tree,265,112,Greedy Independent Cover,112.0,112,112
